gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
SDN202403200,glast001,LAN,1,1,value,15,1,0,0,0,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,brasr001,LAN,1,1,value,3,0,0,0,0,0,,,,,0,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,hudsd001,LAN,1,1,value,3,0,0,0,0,0,,,,,0,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,kellj001,LAN,1,1,value,3,0,1,0,0,0,,,,,0,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,phile001,LAN,1,1,value,3,0,0,0,0,0,,,,,0,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,bettm001,LAN,1,6,value,27,1,4,0,1,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,freef001,LAN,1,3,value,27,9,1,0,1,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,smitw003,LAN,1,2,value,27,6,0,0,0,0,0,1,0,0,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,muncm001,LAN,1,5,value,27,0,1,0,0,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,hernt002,LAN,1,7,value,15,0,0,0,0,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,hernt002,LAN,2,9,value,12,3,0,0,0,0,,,,,0,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,outmj002,LAN,1,8,value,27,3,0,0,0,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,heywj001,LAN,1,9,value,15,2,0,0,0,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,herne001,LAN,1,7,value,12,0,0,0,0,0,,,,,0,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,lux-g001,LAN,1,4,value,27,2,4,0,1,0,,,,,1,20240320,0,SEO01,v,SDN,1,0,0,regular,y,y
SDN202403200,darvy001,SDN,1,1,value,11,0,0,0,0,0,,,,,1,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,cosgt001,SDN,1,1,value,2,0,1,0,0,0,,,,,0,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,deloe001,SDN,1,1,value,3,0,0,0,0,0,,,,,0,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,matsy001,SDN,1,1,value,2,0,0,0,0,0,,,,,0,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
SDN202403200,peraw002,SDN,1,1,value,3,0,1,0,0,0,,,,,0,20240320,0,SEO01,h,LAN,0,1,0,regular,y,y
