playerID,batting_hand,throwing_hand
tappw101,R,
wille103,R,
wistt101,R,
yerks101,R,
yound104,L,
zinng101,L,
zwild101,L,
wille103,,R
yound104,,R
zinng101,,R
,,
willg103,L,
willh103,R,
willl104,R,
wolfp101,L,
woodr103,R,
wyckj101,R,
zeism101,R,
willl104,,L
wolfp101,,R
woodr103,,R
wyckj101,,R
zeism101,,R
,,
tincb101,L,
wagnh101,R,
wheaz101,L,
whitp102,R,
wilth102,R,
wingi101,L,
yinge101,L,
zimmh101,R,
tincb101,,R
wilth102,,L
yinge101,,L
zimmh101,,R
,,
,,
camnh101,R,
dougl101,R,
downt101,B,
drakd101,R,
enzej101,R,
falkc101,R,
farrj104,B,
kaisg101,R,
camnh101,,R
dougl101,,R
falkc101,,R
kaisg101,,R
stovg101,R,
whitg103,B,
wrigd101,R,
zwild101,,L
,,
colek101,R,
colle101,L,
connt101,L,
conwo101,?,
coumf101,L,
coveh101,B,
gaind101,R,
colek101,,R
coumf101,,L
coveh101,,L
warhj101,R,
willr104,R,
wolfm101,R,
woodj108,R,
younr103,B,
warhj101,,R
willr104,,R
wolfm101,,R
woodj108,, 
,,
chalg101,R,
coopw101,R,
crutd101,R,
daleg101,R,
darir101,L,
daubj101,L,
doyll101,L,
fluhj101,R,
chalg101,,R
coopw101,,L
crutd101,,R
daleg101,,R
wendl101,R,
whalb101,R,
wilsc102,L,
zimmb101,R,
wagnh101,,R
whalb101,,R
whitp102,,R
wingi101,,R
zimmb101,, 
,,
,,
craws101,L,
dealc102,R,
dumog101,R,
felsh101,R,
gregv101,R,
dumog101,,R
waltr102,R,
weilc101,L,
wrigc101,R,
weilc101,,L
,,
connj107,L,
corhr101,R,
dellw101,R,
fleta101,R,
grift102,L,
dellw101,,R
wilhj101,L,
wilsa102,R,
wilhj101,,R
wilsa102,,R
,,
,,
culln101,L,
cunng101,R,
davih101,R,
debeh101,R,
gardl101,L,
gharp101,R,
hamie101,L,
culln101,,L
cunng101,,R
hamie101,,L
waldd101,R,
warda101,R,
wittw101,L,
wrigr104,R,
waldd101,,R
wittw101,,R
wrigr104,, 
,,
carlh101,R,
cravg101,R,
dillp101,R,
doakb101,R,
everj102,L,
fabrb101,B,
hemie101,B,
carlh101,,R
doakb101,,R
watsm102,R,
wolfh101,R,
zeidr101,R,
watsm102,,R
wheaz101,,R
zeidr101,, 
,,
,,
casej101,R,
enzmj101,R,
faber101,B,
finnh102,R,
hendt101,R,
enzmj101,,R
faber101,,R
finnh102,,R
zacht101,L,
warda101,,R
zacht101,, 
,,
brott101,R,
catoh101,R,
crumc101,R,
dougp101,R,
elleh101,R,
fitzm102,L,
crumc101,,R
dougp101,,R
elleh101,,R
stenc101,L,
wheed102,R,
woodf102,R,
stenc101,,L
woodf102,, 
,,
,,
davii102,R,
dugaj101,R,
evanj101,R,
gallb103,R,
gandc101,R,
hoytw101,R,
kanef101,L,
gallb103,,R
hoytw101,,R
wicka101,L,
zinnj101,L,
wicka101,,L
winng101,,L
zinnj101,,R
,,
