nicknameID,franchiseID, franchiseIDprior, league, division, location, nickname, nicknamesAlternate, dateStart, dateEnd, city, state
0,ANA,LAA,AL,,Los Angeles,Angels,,4/11/1961,9/1/1965,Los Angeles,CA
1,ANA,CAL,AL,,California,Angels,,9/2/1965,9/29/1968,Anaheim,CA
2,ANA,CAL,AL,W,California,Angels,,4/8/1969,9/29/1996,Anaheim,CA
3,ANA,ANA,AL,W,Anaheim,Angels,,4/2/1997,10/3/2004,Anaheim,CA
4,ANA,ANA,AL,W,Los Angeles,Angels,,4/5/2005,,Anaheim,CA
5,ARI,ARI,NL,W,Arizona,Diamondbacks,,3/31/1998,,Phoenix,AZ
6,ATL,BS1,,,Boston,Red Stockings,,5/5/1871,10/30/1875,Boston,MA
7,ATL,BSN,NL,,Boston,Red Caps,,4/22/1876,10/2/1882,Boston,MA
8,ATL,BSN,NL,,Boston,Beaneaters,,5/1/1883,10/5/1906,Boston,MA
9,ATL,BSN,NL,,Boston,Doves,,4/15/1907,10/12/1910,Boston,MA
10,ATL,BSN,NL,,Boston,Rustlers,Heps,4/12/1911,10/9/1911,Boston,MA
11,ATL,BSN,NL,,Boston,Braves,,4/11/1912,9/29/1935,Boston,MA
12,ATL,BSN,NL,,Boston,Bees,,4/14/1936,9/29/1940,Boston,MA
13,ATL,BSN,NL,,Boston,Braves,,4/15/1941,9/28/1952,Boston,MA
14,ATL,MLN,NL,,Milwaukee,Braves,,4/13/1953,10/3/1965,Milwaukee,WI
15,ATL,ATL,NL,,Atlanta,Braves,,4/12/1966,9/29/1968,Atlanta,GA
16,ATL,ATL,NL,W,Atlanta,Braves,,4/7/1969,10/3/1993,Atlanta,GA
17,ATL,ATL,NL,E,Atlanta,Braves,,4/4/1994,,Atlanta,GA
18,BAL,MLA,AL,,Milwaukee,Brewers,,4/25/1901,9/28/1901,Milwaukee,WI
19,BAL,SLA,AL,,St. Louis,Browns,,4/23/1902,9/27/1953,St. Louis,MO
20,BAL,BAL,AL,,Baltimore,Orioles,,4/13/1954,9/27/1968,Baltimore,MD
21,BAL,BAL,AL,E,Baltimore,Orioles,,4/8/1969,,Baltimore,MD
22,BOS,BOS,AL,,Boston,Americans,Somersets,4/26/1901,10/5/1907,Boston,MA
23,BOS,BOS,AL,,Boston,Red Sox,,4/14/1908,9/29/1968,Boston,MA
24,BOS,BOS,AL,E,Boston,Red Sox,,4/8/1969,,Boston,MA
25,CHA,CHA,AL,,Chicago,White Sox,,4/24/1901,9/29/1968,Chicago,IL
26,CHA,CHA,AL,W,Chicago,White Sox,,4/8/1969,10/3/1993,Chicago,IL
27,CHA,CHA,AL,C,Chicago,White Sox,,4/4/1994,,Chicago,IL
28,CHN,CH1,,,Chicago,White Stockings,,5/8/1871,10/30/1871,Chicago,IL
29,CHN,CH2,,,Chicago,White Stockings,,5/13/1874,10/27/1875,Chicago,IL
30,CHN,CHN,NL,,Chicago,White Stockings,,4/25/1876,10/5/1889,Chicago,IL
31,CHN,CHN,NL,,Chicago,Colts,,4/19/1890,10/3/1897,Chicago,IL
32,CHN,CHN,NL,,Chicago,Orphans,,4/15/1898,10/5/1902,Chicago,IL
33,CHN,CHN,NL,,Chicago,Cubs,,4/16/1903,9/29/1968,Chicago,IL
34,CHN,CHN,NL,E,Chicago,Cubs,,4/8/1969,10/3/1993,Chicago,IL
35,CHN,CHN,NL,C,Chicago,Cubs,,4/4/1994,,Chicago,IL
36,CIN,CN2,AA,,Cincinnati,Red Stockings,,5/2/1882,10/15/1889,Cincinnati,OH
37,CIN,CIN,NL,,Cincinnati,Reds,,4/19/1890,9/27/1953,Cincinnati,OH
38,CIN,CIN,NL,,Cincinnati,Redlegs,,4/13/1954,6/27/1959,Cincinnati,OH
39,CIN,CIN,NL,,Cincinnati,Reds,,4/12/1960,9/29/1968,Cincinnati,OH
40,CIN,CIN,NL,W,Cincinnati,Reds,,4/7/1969,10/3/1993,Cincinnati,OH
41,CIN,CIN,NL,C,Cincinnati,Reds,,4/3/1994,,Cincinnati,OH
42,CLE,CLE,AL,,Cleveland,Blues,,4/24/1901,9/28/1901,Cleveland,OH
43,CLE,CLE,AL,,Cleveland,Broncos,,4/23/1902,9/27/1902,Cleveland,OH
44,CLE,CLE,AL,,Cleveland,Naps,,4/22/1903,10/4/1914,Cleveland,OH
45,CLE,CLE,AL,,Cleveland,Indians,,4/14/1915,9/27/1968,Cleveland,OH
46,CLE,CLE,AL,E,Cleveland,Indians,,4/8/1969,10/3/1993,Cleveland,OH
47,CLE,CLE,AL,C,Cleveland,Indians,,4/4/1994,,Cleveland,OH
48,COL,COL,NL,W,Colorado,Rockies,,4/5/1993,,Denver,CO
49,DET,DET,AL,,Detroit,Tigers,,4/25/1901,9/29/1968,Detroit,MI
50,DET,DET,AL,E,Detroit,Tigers,,4/8/1969,9/28/1997,Detroit,MI
51,DET,DET,AL,C,Detroit,Tigers,,3/31/1998,,Detroit,MI
52,HOU,HOU,NL,,Houston,Colt .45's,,4/10/1962,10/4/1964,Houston,TX
53,HOU,HOU,NL,,Houston,Astros,,4/12/1965,9/29/1968,Houston,TX
54,HOU,HOU,NL,W,Houston,Astros,,4/8/1969,10/3/1993,Houston,TX
55,HOU,HOU,NL,C,Houston,Astros,,4/4/1994,10/3/2012,Houston,TX
56,HOU,HOU,AL,W,Houston,Astros,,3/31/2013,,Houston,TX
57,KCA,KCA,AL,W,Kansas City,Royals,,4/8/1969,10/3/1993,Kansas City,MO
58,KCA,KCA,AL,C,Kansas City,Royals,,4/4/1994,,Kansas City,MO
59,LAN,BR3,AA,,Brooklyn,Atlantics,Trolley Dodgers,5/1/1884,10/15/1884,Brooklyn,NY
60,LAN,BR3,AA,,Brooklyn,Grays,Trolley Dodgers,4/20/1885,10/10/1887,Brooklyn,NY
61,LAN,BR4,AA,,Brooklyn,Bridegrooms,,4/8/1888,10/14/1889,Brooklyn,NY
62,LAN,BRO,NL,,Brooklyn,Bridegrooms,Grooms,4/19/1890,10/15/1898,Brooklyn,NY
63,LAN,BRO,NL,,Brooklyn,Superbas,,4/15/1899,10/12/1910,Brooklyn,NY
64,LAN,BRO,NL,,Brooklyn,Dodgers,Superbas,4/12/1911,10/5/1912,Brooklyn,NY
65,LAN,BRO,NL,,Brooklyn,Superbas,,4/9/1913,10/3/1913,Brooklyn,NY
66,LAN,BRO,NL,,Brooklyn,Robins,,4/14/1914,9/27/1931,Brooklyn,NY
67,LAN,BRO,NL,,Brooklyn,Dodgers,,4/12/1932,9/29/1957,Brooklyn,NY
